put, point-no_ordering,time-no_ordering,Time-ordering,D=3,D-5,D=2,,Node-no_ordering,Node-ordering,D=3,D=5,,,,
Mid Search = 10,,,D=5,D=3,"D=2,endD=7","D=none,endD=8",,,D=5,D=3,"D=2,endD=7",,,,
d3,,,,,,,,,,,,,,,
c5,,,,,,,,,,,,,,,
d6,,,,,,,,,,,,,,,
e7,,,,,,,,,,,,,,,
e6,37331,,,,2.631,2.065,,,,,346748,254228,,,
f6,,,,,,,,,,,,,,,
e8,26220,,,,4.594,4.058,,,,,618050,492363,,,
f5,,,,,,,,,,,,,,,
g4,30163,,,,,12.806,,,,,,1495267,,,
g5,,,,,,,,,,,,,,,
b6,47454,,,,,15.246,,,,,,1776917,,,
d7,,,,,,,,,,,,,,,
c6,52399,,,,,8.143,,,,,,918825,,,
c4,,,,,,,,,,,,,,,
c3,39328,,,,,12.446,,,,,,1383550,,,
f8,,,,,,,,,,,,,,,
g8,38042,,,,,12.478,,,,,,1374278,,,
d8,,,,,,,,,,,,,,,
c8,27460,,,,,15.549,,,,,,1803050,,,
f7,,,,,,,,,,,,,,,
h5,,,,,,,,,,,,,,,
c7,,,,,,,,,,,,,,,
g6,,,,,,,,,,,,,,,
h4,,,,,,,,,,,,,,,
h3,,,,,,,,,,,,,,,
a6,,,,,,,,,,,,,,,
b5,,,,,,,,,,,,,,,
f4,,,,,,,,,,,,,,,
a5,,,,,,,,,,,,,,,
a4,,,,,,,,,,,,,,,
g3,,,,,,,,,,,,,,,
h6,,,,,,,,,,,,,,,
h7,,,,,,,,,,,,,,,
b4,,,,,,,,,,,,,,,
a3,,,,,,,,,,,,,,,
a2,,,,,,,,,,,,,,,
g7,,,,,,,,,,,,,,,
b3,,,,,,,,,,,,,,,
b2,,,,,,,,,,,,,,,
e3,,,,,,,,,,,,,,,
f3,,,,,,,,,,,,,,,
h8,,,,,,,,,,,,,,,
f2,38,,,,,1.639,,,,,,5773195,,,
h2,,,,,,,,,,,,,,,
e2,38,,,,,0.114,,,,,,375947,,,
d2,,,,,,,,,,,,,,,
c2,42,,,,,0.016,,,,,,50758,,,
